var1,var2,value
Malonate,Homoarginine,-0.02
Malonate,2-Aminoisobutyric acid,0.06
Malonate,13-HODE,-0.3
Malonate,C34:2 PC,-0.12
Malonate,1-Methylguanosine,0.01
Malonate,Glucuronate,-0.03
Malonate,N-Carbamoyl-beta-alanine,0.01
Malonate,Kynurenine,-0.17
Malonate,3-Methyladipate/pimelate,-0.03
Malonate,N-Acetylserine,0.05
Malonate,Hydroxyproline,0
Malonate,4-Hydroxyhippurate,0.03
Homoarginine,2-Aminoisobutyric acid,0.18
Homoarginine,13-HODE,0.08
Homoarginine,C34:2 PC,-0.07
Homoarginine,1-Methylguanosine,-0.04
Homoarginine,Glucuronate,-0.07
Homoarginine,N-Carbamoyl-beta-alanine,-0.09
Homoarginine,Kynurenine,-0.21
Homoarginine,3-Methyladipate/pimelate,-0.17
Homoarginine,N-Acetylserine,-0.31
Homoarginine,Hydroxyproline,-0.03
Homoarginine,4-Hydroxyhippurate,0.02
2-Aminoisobutyric acid,13-HODE,0.04
2-Aminoisobutyric acid,C34:2 PC,-0.26
2-Aminoisobutyric acid,1-Methylguanosine,0.08
2-Aminoisobutyric acid,Glucuronate,0.03
2-Aminoisobutyric acid,N-Carbamoyl-beta-alanine,0.05
2-Aminoisobutyric acid,Kynurenine,-0.12
2-Aminoisobutyric acid,3-Methyladipate/pimelate,-0.27
2-Aminoisobutyric acid,N-Acetylserine,0.01
2-Aminoisobutyric acid,Hydroxyproline,-0.02
2-Aminoisobutyric acid,4-Hydroxyhippurate,0
13-HODE,C34:2 PC,0.13
13-HODE,1-Methylguanosine,0.12
13-HODE,Glucuronate,-0.01
13-HODE,N-Carbamoyl-beta-alanine,0.06
13-HODE,Kynurenine,-0.14
13-HODE,3-Methyladipate/pimelate,0.07
13-HODE,N-Acetylserine,0.04
13-HODE,Hydroxyproline,0.03
13-HODE,4-Hydroxyhippurate,0.15
C34:2 PC,1-Methylguanosine,-0.14
C34:2 PC,Glucuronate,-0.04
C34:2 PC,N-Carbamoyl-beta-alanine,-0.18
C34:2 PC,Kynurenine,0.06
C34:2 PC,3-Methyladipate/pimelate,0.19
C34:2 PC,N-Acetylserine,-0.04
C34:2 PC,Hydroxyproline,0.08
C34:2 PC,4-Hydroxyhippurate,0.07
1-Methylguanosine,Glucuronate,0.18
1-Methylguanosine,N-Carbamoyl-beta-alanine,0.24
1-Methylguanosine,Kynurenine,0.04
1-Methylguanosine,3-Methyladipate/pimelate,0.09
1-Methylguanosine,N-Acetylserine,0.28
1-Methylguanosine,Hydroxyproline,0.07
1-Methylguanosine,4-Hydroxyhippurate,0.13
Glucuronate,N-Carbamoyl-beta-alanine,0.4
Glucuronate,Kynurenine,-0.05
Glucuronate,3-Methyladipate/pimelate,0.33
Glucuronate,N-Acetylserine,0.4
Glucuronate,Hydroxyproline,0.11
Glucuronate,4-Hydroxyhippurate,0.19
N-Carbamoyl-beta-alanine,Kynurenine,0.19
N-Carbamoyl-beta-alanine,3-Methyladipate/pimelate,0.2
N-Carbamoyl-beta-alanine,N-Acetylserine,0.31
N-Carbamoyl-beta-alanine,Hydroxyproline,0.14
N-Carbamoyl-beta-alanine,4-Hydroxyhippurate,0.33
Kynurenine,3-Methyladipate/pimelate,0.2
Kynurenine,N-Acetylserine,0.1
Kynurenine,Hydroxyproline,0.15
Kynurenine,4-Hydroxyhippurate,0.17
3-Methyladipate/pimelate,N-Acetylserine,0.4
3-Methyladipate/pimelate,Hydroxyproline,0.22
3-Methyladipate/pimelate,4-Hydroxyhippurate,0.21
N-Acetylserine,Hydroxyproline,0.33
N-Acetylserine,4-Hydroxyhippurate,0.33
Hydroxyproline,4-Hydroxyhippurate,0.35
