node_id,identifier,node_type,name,human_name
423007,inchikey:BHQCQFFYRZLCQQ-OELDTZBJSA-N,Compound,Cholic Acid,Cholic Acid
423108,inchikey:KXGVEGMKQFWNSR-LLQZFEROSA-N,Compound,Deoxycholic Acid,Deoxycholic Acid
556753,inchikey:GHCZAUBVMUEKKP-XROMFQGDSA-N,Compound,Glycoursodeoxycholic acid,Glycoursodeoxycholic acid
26886199,P08684,Protein,CP3A4_HUMAN,CP3A4
388647,inchikey:WBWWGRHZICKQGZ-HZAMXZRMSA-N,Compound,Taurocholic acid,Taurocholic acid
390682,inchikey:RFDAIACWWDREDC-FRVQLJSFSA-N,Compound,Glycocholic acid,Glycocholic acid
391913,inchikey:GHCZAUBVMUEKKP-GYPHWSFCSA-N,Compound,Glycochenodeoxycholic acid,Glycochenodeoxycholic acid
396399,inchikey:RUDATBOHQWOJDD-UZVSRGJWSA-N,Compound,Ursodiol,Ursodiol
27583284,Q9NZK7,Protein,PA2GE_HUMAN,PA2GE
390598,inchikey:SMEROWZSTRWXGI-HVATVPOCSA-N,Compound,Lithocholic acid,Lithocholic acid
417993,inchikey:SMEROWZSTRWXGI-WFVDQZAMSA-N,Compound,Isolithocholic acid,Isolithocholic acid
411156,inchikey:HMXPOCDLAFAFNT-BHYUGXBJSA-N,Compound,Taurohyodeoxycholic acid,Taurohyodeoxycholic acid
605358,inchikey:XSOLDPYUICCHJX-UZUDEGBHSA-N,Compound,Tauro-b-muricholic acid,Tauro-b-muricholic acid
27544276,Q96RI1,Protein,NR1H4_HUMAN,NR1H4
2472680,CHEBI:85234,Compound,human blood serum metabolite,Human Blood Serum Metabolite
2025296,inchikey:AWDRATDZQPNJFN-VAYUFCLWSA-N,Compound,Taurodeoxycholic acid,Taurodeoxycholic acid
2063755,inchikey:WVULKSPCQVQLCU-BUXLTGKBSA-N,Compound,Glycodeoxycholic acid,Glycodeoxycholic acid
2373639,inchikey:BHTRKEVKTKCXOH-LBSADWJPSA-N,Compound,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid
2279734,inchikey:DGABKXLVXPYZII-SIBKNCMHSA-N,Compound,Hyodeoxycholic acid,Hyodeoxycholic acid
26987197,Q12908,Protein,NTCP2_HUMAN,NTCP2
26893757,P22680,Protein,CP7A1_HUMAN,CP7A1
353959,inchikey:XSOLDPYUICCHJX-UHFFFAOYSA-N,Compound,Tauro-alpha-muricholic acid,Tauro-alpha-muricholic acid
26896194,P35575,Protein,G6PC1_HUMAN,G6PC1
2491959,2538,Gene,G6PC1,G6PC1
26934366,Q07869,Protein,PPARA_HUMAN,PPARA
26885968,P07602,Protein,SAP_HUMAN,SAP
2491891,2308,Gene,FOXO1,FOXO1
2492439,3172,Gene,HNF4A,HNF4A
27592445,Q9UNU6,Protein,CP8B1_HUMAN,CP8B1
2491386,1582,Gene,CYP8B1,CYP8B1
26881286,O75881,Protein,CP7B1_HUMAN,CP7B1
2496542,9420,Gene,CYP7B1,CYP7B1
27514351,Q8TDU6,Protein,GPBAR_HUMAN,GPBAR
2491395,1593,Gene,CYP27A1,CYP27A1
27007851,Q14973,Protein,NTCP_HUMAN,NTCP
2494734,6554,Gene,SLC10A1,SLC10A1
2494757,6579,Gene,SLCO1A2,SLCO1A2
11483,UBERON:0000082,Anatomy,adult mammalian kidney,Adult Mammalian Kidney
2491789,2172,Gene,FABP6,FABP6
2494735,6555,Gene,SLC10A2,SLC10A2
2497003,9971,Gene,NR1H4,NR1H4
27010356,Q15466,Protein,NR0B2_HUMAN,NR0B2
2495821,8431,Gene,NR0B2,NR0B2
2492077,2697,Gene,GJA1,GJA1
2502435,64943,Gene,NT5DC2,NT5DC2
163314,inchikey:BHTRKEVKTKCXOH-BJLOMENOSA-N,Compound,Taurochenodeoxycholic acid,Taurochenodeoxycholic acid
27596853,Q9Y6L6,Protein,SO1B1_HUMAN,SO1B1
26892069,P16220,Protein,CREB1_HUMAN,CREB1
26884642,P02768,Protein,ALBU_HUMAN,ALBU
26871142,O00716,Protein,E2F3_HUMAN,E2F3
26899852,P46721,Protein,SO1A2_HUMAN,SO1A2
2495986,8647,Gene,ABCB11,ABCB11
26901050,P51161,Protein,FABP6_HUMAN,FABP6
28017782,PF13561,ProteinDomain,Enoyl-(Acyl carrier protein) reductase,Enoyl-(Acyl carrier protein) reductase
30730378,1598,Organism,Limosilactobacillus reuteri,Limosilactobacillus reuteri
30688585,108981,Organism,Acinetobacter schindleri,Acinetobacter schindleri
30731315,239935,Organism,Akkermansia muciniphila,Akkermansia muciniphila
30738601,823,Organism,Parabacteroides distasonis,Parabacteroides distasonis
30736558,817,Organism,Bacteroides fragilis,Bacteroides fragilis
146592,DOID:10763,Disease,hypertension,Hypertension
2493893,5373,Gene,PMM2,PMM2
152911,DOID:9351,Disease,diabetes mellitus,Diabetes Mellitus
151144,DOID:9352,Disease,type 2 diabetes mellitus,Type 2 Diabetes Mellitus
145440,DOID:9970,Disease,obesity,Obesity
146082,DOID:13580,Disease,cholestasis,Cholestasis
26883798,O95342,Protein,ABCBB_HUMAN,ABCBB
30629793,hsa-miR-6873-3p,MiRNA,,
2501999,58478,Gene,ENOPH1,ENOPH1
