"hub_node","hub_name","distance"
"2491891","FOXO1",1
"2492439","HNF4A",1
"396399","Ursodiol",1
"2373639","Tauroursodeoxycholic acid",1
"2495821","NR0B2",2
"2493679","PCK1",2
"27544276","NR1H4_HUMAN",2
"26893757","CP7A1_HUMAN",2
"27514351","GPBAR_HUMAN",2
"27010356","NR0B2_HUMAN",2
"26897406","HNF4A_HUMAN",2
"26986623","FOXO1_HUMAN",2
"2491959","G6PC1",3
"2491386","CYP8B1",3
"2496542","CYP7B1",3
"2494734","SLC10A1",3
"2491789","FABP6",3
"2494735","SLC10A2",3
"2497003","NR1H4",3
"2495986","ABCB11",3
"2491385","CYP7A1",3
"2496997","FGF19",3
"26896194","G6PC1_HUMAN",3
"27592445","CP8B1_HUMAN",3
"423007","Cholic Acid",3
"423108","Deoxycholic Acid",3
"388647","Taurocholic acid",3
