"taxon","node_id","n_proteins_1hop","n_total_2hop","n_bile_acids_2hop","n_genes_2hop","n_metabolic_genes_2hop","bile_acids","metabolic_genes"
"Limosilactobacillus reuteri","30730378",10,5,0,0,0,"",""
"Acinetobacter schindleri","30688585",8,4,0,0,0,"",""
"Akkermansia muciniphila","30731315",10,6,0,0,0,"",""
"Parabacteroides distasonis","30738601",8,20,1,8,3,"Tauroursodeoxycholic acid","CYP7B1; NR1H4; ABCB11"
"Bacteroides fragilis","30736558",8,19,1,4,0,"Tauroursodeoxycholic acid",""
"Lactobacillus","30709411",0,33,2,13,5,"Ursodiol; Tauroursodeoxycholic acid","FOXO1; HNF4A; CYP7B1; NR1H4; ABCB11"
"Lactobacillus iners","30708123",6,7,0,0,0,"",""
"Bacteroides","30719406",0,23,2,8,3,"Ursodiol; Tauroursodeoxycholic acid","CYP7B1; NR1H4; ABCB11"
"Akkermansia","30706821",0,17,1,3,0,"Tauroursodeoxycholic acid",""
"Ileibacterium valens","30775861",0,0,0,0,0,"",""
