"taxon","node_id","degree","n_bile_acids","n_genes","n_proteins","n_compounds"
"Limosilactobacillus reuteri","30730378",10,0,0,10,0
"Acinetobacter schindleri","30688585",8,0,0,8,0
"Akkermansia muciniphila","30731315",12,0,0,10,0
"Parabacteroides distasonis","30738601",10,0,0,8,0
"Bacteroides fragilis","30736558",14,0,0,8,0
"Lactobacillus","30709411",8,0,0,0,0
"Lactobacillus iners","30708123",10,0,0,6,0
"Bacteroides","30719406",6,0,0,0,0
"Akkermansia","30706821",4,0,0,0,0
"Ileibacterium valens","30775861",0,0,0,0,0
