edge_id,from,to
223507,423007,2467341
235332,423108,2467341
490363,423007,27514351
2096985,556753,27514351
51298954,26886199,423007
52452001,26886199,605358
206477,388647,2481007
177271,423007,2481007
200664,390682,2481007
183731818,388647,28005470
36736965,423108,28005470
176829,391913,2481007
177969,396399,2481007
51940843,27583284,388647
52060861,27583284,556753
176110,390598,2481007
177340,417993,2481007
391846,388647,2473743
264569,411156,2473743
378264,605358,2473743
51755531,27544276,390682
137298330,423108,27544276
358295,390682,2485781
219822,556753,2485781
1489430,390682,27514351
2136937,411156,27514351
204088,605358,2481007
179356,423108,2472680
176667,556753,2472680
264817,2472680,2481007
204622,2025296,2481007
137299160,2025296,26893490
490685,423108,26893490
186500,2063755,2481007
199776,2373639,2481007
1704324,2025296,27514351
181936,2279734,2481007
2098556,2025296,26987197
37371549,26987197,26893757
52500095,26893757,2279755
52500093,26893757,2279753
381409,2025296,2473743
52500094,26893757,2279754
420584,353959,2473743
37283985,26896194,27514351
515038,2491959,26896194
37068001,26934366,27514351
37802848,26934366,2493679
52158570,26885968,2025296
501873,26885968,29698996
38073788,2491891,29698996
185147799,2025296,2492538
195688099,2492439,2492538
137298421,2025296,27544276
37800320,27544276,2491385
37193137,27592445,27514351
523503,2491386,27592445
52158564,26881286,2025296
532493,2496542,26881286
156664562,27514351,148189
161121794,2491395,148189
37393471,27007851,27514351
507686,2494734,27007851
185147801,2025296,2495150
5569786,2494757,2495150
37797846,27544276,2495986
148643021,11483,2492538
148669808,11483,2506211
185147798,2025296,2503096
195713386,2491789,2503096
517275,2494735,26987197
513190,2497003,27544276
37311024,27010356,27514351
524758,2495821,27010356
37801294,27544276,2496997
52158576,27544276,2063755
276439,2063755,2485781
2029406,2063755,27514351
37522830,26893757,27544276
139734373,27544276,26886199
52452000,26886199,353959
185269548,2063755,2492077
5423598,2492077,2493679
185269549,2063755,2502435
5269788,2502435,2491891
185269546,2063755,2500019
195687651,2492439,2500019
37477903,26881286,27514351
185269550,2063755,2490555
148647144,11483,2490555
148632354,11483,2494757
37813558,27544276,2491789
37369785,26987197,27514351
183307,163314,2481007
2176491,163314,27544276
183306,163314,2471879
177968,396399,2471879
1609950,163314,27514351
176109,390598,2471879
52060913,26886199,163314
52452390,26886199,2279734
52060963,27596853,163314
37536587,27596853,26893757
52060933,26892069,163314
37813107,26892069,2493679
52060993,26884642,163314
36805670,26871142,26884642
37798728,26871142,2491891
518507,26884642,43345996
37991455,2492439,43345996
52060958,27007851,163314
52061043,26899852,163314
508377,2494757,26899852
1606281,163314,26883798
524543,2495986,26883798
52060938,26901050,163314
514431,2491789,26901050
1746390,163314,26987197
36737158,163314,28017782
196077798,28017782,35036091
168205494,30730378,35036091
196077811,28017782,11545570
11145037,30688585,11545570
196073290,28017782,11218229
22566701,30731315,11218229
196032189,28017782,9214035
13299531,30738601,9214035
196067221,28017782,34865640
163306002,30736558,34865640
1669825,391913,27544276
220877,391913,2485781
1921003,391913,27514351
227213,396399,2483106
235334,423108,2483106
487758,396399,27514351
51769878,26886199,396399
137299213,2373639,27544276
199774,2373639,2471759
176666,556753,2471759
1930374,2373639,27514351
52060916,26886199,2373639
176700657,2373639,146592
36429927,146592,2491959
180512932,2373639,2493893
5423619,2493893,2493679
176664985,2373639,152911
2322492,152911,2491891
147693982,2373639,151144
2255995,151144,2492439
176680268,2373639,145440
36454312,145440,2491385
147682035,2373639,146082
2284675,146082,2491386
36438733,146082,2496542
36405200,146082,2491395
137289176,2373639,27007851
52061046,26899852,2373639
52060946,26883798,2373639
8795787,2373639,2494795
181956400,30629793,2494795
181354010,30629793,2506211
52060941,26901050,2373639
2066929,2373639,26987197
2253625,145440,2495821
4946445,2373639,2501999
5015999,2501999,2496997
36713999,2373639,28023950
195125283,28023950,35025120
164977601,30730378,35025120
147682411,2373639,148954
25747052,30709411,148954
5979403,30708123,30709411
142083007,28023950,21069153
6524757,30731315,21069153
25746254,30738601,148954
176698759,2373639,151507
25746035,30736558,151507
216834,390598,2467341
1693285,390598,27514351
51767550,26886199,390598
223816,417993,2467341
51767624,26894880,417993
52060729,26894880,556753
51767539,26886199,417993
250761,2279734,2467341
181935,2279734,2471879
485512,2279734,26994266
37573710,26901050,26994266
52060759,26901050,556753
485494,2279734,26902119
37276658,26902119,26893757
37804922,26994266,2491959
37068952,26934366,26994266
37077828,26876825,26994266
37802956,26876825,2491891
37421549,26892946,26994266
37801079,26892946,2492439
139734346,27544276,26994266
37193234,27592445,26994266
37477874,26881286,26994266
156664806,26994266,148189
37067799,26892500,26994266
37803623,26892500,2494734
37113647,26899852,26886199
139712899,26884341,26994266
37810927,26884341,2494735
139620689,26897611,26994266
37809155,26897611,2497003
37313102,27010356,26994266
496417,423108,27514351
53470,26885805,27514351
51768933,26885805,417993
51299498,26893757,423007
51940643,26893757,388647
51755579,27596853,390682
51994292,26893757,423108
139699968,26894669,26893757
52060742,26894669,391913
51770193,26893757,396399
52060966,27596853,2373639
52060741,26894669,556753
416722,2279755,411290
291254,411290,2477167
216836,390598,2477167
51767811,26894669,417993
37523917,26893757,27514351
416724,2279755,2487113
378268,605358,2487113
37521970,26893757,26886199
37290596,26896194,26893757
37522794,26893757,26934366
37522729,26893757,26986623
499597,2491891,26986623
37523896,26893757,26986618
37808575,26986618,2492439
500590,2491385,26893757
37313819,27010356,26893757
37797962,27010356,2491386
51790010,26893757,385407
185254889,385407,2496542
37805891,27010356,2491395
37393424,27007851,26893757
37522788,26893757,26899852
37116843,26883798,26893757
37654330,26883967,26893757
508628,2496997,26883967
51767822,26894669,390598
423425,2279753,411290
223819,417993,2477167
230497,2279754,2472241
223509,423007,2472241
230498,2279754,411290
230499,2279754,2480799
378266,605358,2480799
36261775,26883798,2473743
1485706,390682,26883798
139626505,26885351,26886199
51994264,26885351,423108
1917301,391913,26883798
52060771,26883798,556753
36459551,143290,2491959
37851060,423007,143290
37802277,26939262,2491959
139569082,27582042,26939262
36261200,27582042,388647
51755585,27582042,390682
4059636,2491959,28004717
2651370,2493820,28004717
180861961,423108,2493820
37803214,27010356,2491959
51770238,27010356,396399
51767907,27010356,390598
37813234,26902119,2491959
51767862,26902119,417993
37284843,26896194,26886199
1024441,2491959,27975012
147787279,2493679,27975012
37812574,26897406,2491959
530965,2492439,26897406
1120988,2491959,27985395
1060095,2496542,27985395
36408226,147704,2491959
4102791,147704,2494734
148656495,11483,2491959
877712,2491959,27977194
1121371,2495986,27977194
4101707,147704,2494735
955865,2491959,27982617
1221378,2497003,27982617
4061189,2491959,28004539
4059004,2496997,28004539
36331653,2491959,23902
195233476,143548,23902
25747151,30708123,143548
36470222,142769,2491959
136959067,142769,148954
36407809,144506,2491959
136969819,144506,151507
5423615,2497839,2493679
185179056,423007,2497839
37987484,2493679,43345996
134556145,27534015,43345996
3843275,27534015,388647
37798663,26886068,2493679
37735312,26886068,27544276
5240394,2493679,2497577
183141287,423108,2497577
5423618,2496890,2493679
183013854,396399,2496890
5423622,2494203,2493679
185105522,390598,2494203
37798674,26890877,2493679
51767420,26890877,417993
139680670,26934366,26886199
885660,2493679,27985823
801492,2496542,27985823
891766,2493679,27981673
2847872,2494734,27981673
148652053,11483,2493679
843881,2493679,27976736
701088,2495986,27976736
148652057,518,2493679
148669809,518,2506211
689250,2493679,27985636
760053,2494735,27985636
2427675,2493679,28003016
2422190,2497003,28003016
937671,2493679,27986950
1045920,2495821,27986950
991735,2496997,27985823
36400247,148120,2493679
35880430,148120,148954
36287790,2493679,36877
470093,151507,36877
5443507,2491891,2498028
185179060,423007,2498028
51940793,26884642,388647
160577409,396618,2491891
51541676,26872881,396618
51755561,26872881,390682
5269780,2497444,2491891
182970345,423108,2497444
37810853,26916138,2491891
139695733,26894669,26916138
183171630,396399,2498028
5269796,2494960,2491891
185105527,390598,2494960
37450679,26897936,26986623
51767454,26897936,417993
37797986,26885001,2491891
139558565,26885001,26886199
1181034,2491891,27983774
692168,2491959,27983774
915286,2491891,27982658
2852796,2493679,27982658
195687988,2492439,2491891
1158680,2491891,27981673
1179849,2496542,27981673
148670688,11483,2491891
983537,2491891,27983345
861067,2495986,27983345
148670692,518,2491891
36417176,147704,2491891
1030658,2491891,27981084
823244,2497003,27981084
1035598,2491891,27983032
723840,2495821,27983032
726226,2491891,27976114
884982,2496997,27976114
2331054,151144,2491891
25746012,30709411,151144
5024692,2491891,2495179
2312305,148954,2495179
2316428,143983,2491891
136962765,143983,151507
195688021,2492439,2492125
185179027,423007,2492125
37798629,26995200,2492439
147413741,26995200,27005636
51755597,27005636,390682
195687568,2492439,2500942
185171912,423108,2500942
37810805,26910709,2492439
37647144,26894669,26910709
137296819,145949,2492439
176711730,396399,145949
195687679,2492439,2490741
185105508,390598,2490741
51768117,26892946,417993
52830,26892946,26886199
195688403,2492439,2493679
1087175,2492439,27982686
1042122,2496542,27982686
963618,2492439,27980703
1133459,2494734,27980703
928182,2492439,27982687
2433387,2494757,27982687
809967,2492439,27979884
947118,2495986,27979884
148636566,11483,2492439
36429477,147704,2492439
2865573,2492439,29063648
2868846,2497003,29063648
195688346,2492439,2495821
1208317,2492439,27985092
1120526,2496997,27985092
36266059,2492439,23902
195687605,2492439,2490437
36454430,148954,2490437
36448998,144506,2492439
37799519,26891109,2491385
2025916,423007,26891109
137293978,145949,2491385
37811855,26934366,2491385
1787709,390598,26891109
