source,target,edge_type,source_set,is_ontology
inchikey:WLJVNTCWHIRURA-UHFFFAOYSA-N,Q86Y79,INTERACTS_PiC,steiner,FALSE
inchikey:WLJVNTCWHIRURA-UHFFFAOYSA-N,Q9BQT8,TRANSPORTS_PtC,steiner,FALSE
inchikey:WLJVNTCWHIRURA-UHFFFAOYSA-N,CHEBI:189840,ISA_CiC,steiner,TRUE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,246,PRODUCT_OF,fig2d,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,5468,ACTIVATES,fig2d,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,P01137,INTERACTS_PiC,steiner,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,P35558,INTERACTS_PiC,steiner,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,O95402,INTERACTS_PiC,steiner,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,O60244,INTERACTS_PiC,steiner,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,P41159,INTERACTS_PiC,steiner,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,P49715,INTERACTS_PiC,steiner,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,54658,SUBSTRATE_OF,fig2d,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,54659,SUBSTRATE_OF,fig2d,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,P16070,INTERACTS_PiC,steiner,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,P22309,INTERACTS_PiC,steiner,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,P27487,INTERACTS_PiC,steiner,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,Q9NUJ1,INTERACTS_PiC,steiner,FALSE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,Q14623,INTERACTS_PiC,steiner,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,5465,ACTIVATES,fig2d,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,7351,UPREGULATES,fig2d,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,P35030,INTERACTS_PiC,steiner,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,P36542,INTERACTS_PiC,steiner,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,P00734,INTERACTS_PiC,steiner,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,P10646,INTERACTS_PiC,steiner,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,3620,METABOLIZED_BY,fig2d,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,169355,METABOLIZED_BY,fig2d,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,6999,METABOLIZED_BY,fig2d,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,8564,SUBSTRATE_OF,fig2d,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,8942,SUBSTRATE_OF,fig2d,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,Q16719,INTERACTS_PiC,steiner,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,P17174,INTERACTS_PiC,steiner,FALSE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,Q6YP21,INTERACTS_PiC,steiner,FALSE
inchikey:QUOGESRFPZDMMT-YFKPBYRVSA-N,4846,SUBSTRATE_OF,fig2d,FALSE
inchikey:QUOGESRFPZDMMT-YFKPBYRVSA-N,2628,PRODUCT_OF,fig2d,FALSE
inchikey:QUOGESRFPZDMMT-YFKPBYRVSA-N,P08514,INTERACTS_PiC,steiner,FALSE
inchikey:QUOGESRFPZDMMT-YFKPBYRVSA-N,Q9NV66,INTERACTS_PiC,steiner,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,5625,SUBSTRATE_OF,fig2d,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,8659,SUBSTRATE_OF,fig2d,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,54583,FUNCTIONAL_LINK,fig2d,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,DOID:14219,IN_CLINICAL_TRIALS_FOR,fig2d,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,O95402,INTERACTS_PiC,steiner,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,P00734,INTERACTS_PiC,steiner,FALSE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,Q53H96,INTERACTS_PiC,steiner,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,6389,INHIBITS,fig2d,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,32,FUNCTIONAL_ANALOG,fig2d,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,1374,REGULATES_VIA,fig2d,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,DOID:9970,IN_CLINICAL_TRIALS_FOR,fig2d,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,Q16555,INTERACTS_PiC,steiner,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,Q9NUJ1,INTERACTS_PiC,steiner,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,Q8N159,INTERACTS_PiC,steiner,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,O14531,INTERACTS_PiC,steiner,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,P40926,INTERACTS_PiC,steiner,FALSE
inchikey:UTAIYTHAJQNQDW-KQYNXXCUSA-N,23411,FUNCTIONAL_LINK,fig2d,FALSE
inchikey:ZMHLUFWWWPBTIU-UHFFFAOYSA-N,9356,TRANSPORTED_BY,fig2d,FALSE
inchikey:ZMHLUFWWWPBTIU-UHFFFAOYSA-N,Q4U2R8,BINDS_CbP,steiner,FALSE
inchikey:JJIHLJJYMXLCOY-BYPYZUCNSA-N,P12074,INTERACTS_PiC,steiner,FALSE
inchikey:JJIHLJJYMXLCOY-BYPYZUCNSA-N,P14854,INTERACTS_PiC,steiner,FALSE
inchikey:JJIHLJJYMXLCOY-BYPYZUCNSA-N,P24311,INTERACTS_PiC,steiner,FALSE
inchikey:JSJWCHRYRHKBBW-UHFFFAOYSA-N,1806,PRODUCT_OF,fig2d,FALSE
inchikey:JSJWCHRYRHKBBW-UHFFFAOYSA-N,51733,SUBSTRATE_OF,fig2d,FALSE
inchikey:JSJWCHRYRHKBBW-UHFFFAOYSA-N,Q16555,INTERACTS_PiC,steiner,FALSE
inchikey:JSJWCHRYRHKBBW-UHFFFAOYSA-N,Q9UKP6,INTERACTS_PiC,steiner,FALSE
inchikey:JSJWCHRYRHKBBW-UHFFFAOYSA-N,O14531,INTERACTS_PiC,steiner,FALSE
CHEBI:64516,5468,MEMBRANE_COMPONENT,fig2d,FALSE
inchikey:GLWRPXRMUUZNMD-UHFFFAOYSA-N,2628,DERIVED_FROM,fig2d,FALSE
3620,GO:0070189,PARTICIPATES_GpBP,fig2d,FALSE
3620,GO:0019441,PARTICIPATES_GpBP,fig2d,FALSE
3620,WP465,PARTICIPATES_GpPW,fig2d,FALSE
3620,WP5414,PARTICIPATES_GpPW,fig2d,FALSE
3620,WP5044,PARTICIPATES_GpPW,fig2d,FALSE
3620,WP4210,PARTICIPATES_GpPW,fig2d,FALSE
169355,GO:0070189,PARTICIPATES_GpBP,fig2d,FALSE
169355,GO:0019441,PARTICIPATES_GpBP,fig2d,FALSE
6999,GO:0070189,PARTICIPATES_GpBP,fig2d,FALSE
6999,GO:0019441,PARTICIPATES_GpBP,fig2d,FALSE
6999,WP465,PARTICIPATES_GpPW,fig2d,FALSE
6999,WP2485,PARTICIPATES_GpPW,fig2d,FALSE
6999,WP5044,PARTICIPATES_GpPW,fig2d,FALSE
6999,WP5445,PARTICIPATES_GpPW,fig2d,FALSE
8564,GO:0070189,PARTICIPATES_GpBP,fig2d,FALSE
8564,WP465,PARTICIPATES_GpPW,fig2d,FALSE
8564,WP5044,PARTICIPATES_GpPW,fig2d,FALSE
8942,GO:0097053,PARTICIPATES_GpBP,fig2d,FALSE
8942,WP465,PARTICIPATES_GpPW,fig2d,FALSE
8942,WP4210,PARTICIPATES_GpPW,fig2d,FALSE
8942,Q16719,ENCODES_GeP,stitch,FALSE
883,GO:0097053,PARTICIPATES_GpBP,fig2d,FALSE
56267,Q6YP21,ENCODES_GeP,stitch,FALSE
125061,GO:0019441,PARTICIPATES_GpBP,fig2d,FALSE
2806,GO:0097052,PARTICIPATES_GpBP,fig2d,FALSE
2806,GO:0019470,PARTICIPATES_GpBP,fig2d,FALSE
2806,WP465,PARTICIPATES_GpPW,fig2d,FALSE
2806,WP4315,PARTICIPATES_GpPW,fig2d,FALSE
2806,WP3925,PARTICIPATES_GpPW,fig2d,FALSE
4846,GO:0006809,PARTICIPATES_GpBP,fig2d,FALSE
4846,WP1995,PARTICIPATES_GpPW,fig2d,FALSE
4846,WP2034,PARTICIPATES_GpPW,fig2d,FALSE
4846,WP4172,PARTICIPATES_GpPW,fig2d,FALSE
4846,WP4595,PARTICIPATES_GpPW,fig2d,FALSE
