node_id,node_type,name,subclass,source,hmdb_id,is_metrs,functional_role,highlight,source_set,degree,betweenness,is_compound_hub,is_protein_hub,eigenvector,pagerank,combined_score,is_topology_hub
inchikey:WLJVNTCWHIRURA-UHFFFAOYSA-N,Compound,Pimelic acid,Fatty acids,MetRS,HMDB00555,TRUE,,TRUE,fig2d;steiner,3,0.03543,FALSE,FALSE,0.00000,0.00845,0.01503,FALSE
inchikey:HNICUWMFWZBIFP-KDFHGORWSA-N,Compound,13-HODE,Linoleic acid derivatives,MetRS,HMDB04667,TRUE,,TRUE,fig2d;steiner,8,0.17279,TRUE,FALSE,0.06210,0.01583,0.38122,TRUE
inchikey:AEMOLEFTQBMNLQ-AQKNRBDQSA-N,Compound,D-Glucuronic Acid,Carbohydrates,MetRS,HMDB00127,TRUE,,TRUE,fig2d;steiner,7,0.12050,TRUE,FALSE,0.00438,0.01568,0.17318,FALSE
inchikey:FUOOLUPWFVMBKG-UHFFFAOYSA-N,Compound,"2-Aminoisobutyric
acid (BAIBA)",Amino acids,MetRS,HMDB01906,TRUE,,TRUE,fig2d;steiner,6,0.11205,TRUE,FALSE,0.08017,0.01179,0.31526,TRUE
inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N,Compound,L-kynurenine,Carbonyl compounds,MetRS,HMDB00684,TRUE,,TRUE,fig2d;steiner,8,0.16932,TRUE,FALSE,0.00275,0.01348,0.16705,FALSE
inchikey:QUOGESRFPZDMMT-YFKPBYRVSA-N,Compound,L-Homoarginine,Amino acids,MetRS,HMDB00670,TRUE,,TRUE,fig2d;steiner,4,0.09344,TRUE,FALSE,0.03006,0.00849,0.19620,TRUE
inchikey:PMMYEEVYMWASQN-DMTCNVIQSA-N,Compound,Hydroxyproline,Amino acids,MetRS,HMDB00725,TRUE,,TRUE,fig2d;steiner,7,0.11186,TRUE,FALSE,0.00536,0.01565,0.17872,FALSE
inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N,Compound,Malonic acid,Dicarboxylic acids,MetRS,HMDB00691,TRUE,,TRUE,fig2d;steiner,9,0.26804,TRUE,FALSE,0.11063,0.01748,0.51890,TRUE
inchikey:UTAIYTHAJQNQDW-KQYNXXCUSA-N,Compound,1-Methylguanosine,Purine nucleosides,MetRS,HMDB01563,TRUE,,TRUE,fig2d;steiner,1,0.00000,FALSE,FALSE,0.03367,0.00230,0.00000,FALSE
inchikey:ZMHLUFWWWPBTIU-UHFFFAOYSA-N,Compound,"4-Hydroxyhippuric
acid",Benzoic acid derivatives,MetRS,HMDB13678,TRUE,,TRUE,fig2d;steiner,2,0.00000,FALSE,FALSE,0.00000,0.00500,0.00000,FALSE
inchikey:JJIHLJJYMXLCOY-BYPYZUCNSA-N,Compound,N-Acetylserine,Amino acids,MetRS,HMDB02931,TRUE,,TRUE,fig2d;steiner,3,0.01598,FALSE,FALSE,0.00117,0.00742,0.05043,FALSE
inchikey:JSJWCHRYRHKBBW-UHFFFAOYSA-N,Compound,"3-Ureidopropionic
acid",Ureas,MetRS,HMDB00026,TRUE,,TRUE,fig2d;steiner,5,0.07011,TRUE,FALSE,0.00709,0.01220,0.14732,FALSE
CHEBI:64516,Compound,PC 34:2,Glycerophosphocholines,MetRS,HMDB07973,TRUE,,TRUE,fig2d;steiner,1,0.00000,FALSE,FALSE,0.04145,0.00231,0.00000,FALSE
inchikey:GLWRPXRMUUZNMD-UHFFFAOYSA-N,Compound,DMGV,Short-chain keto acids,MetRS,HMDB24021,TRUE,,TRUE,fig2d;steiner,1,0.00000,FALSE,FALSE,0.00093,0.00316,0.00000,FALSE
3620,Gene,IDO1,,,,FALSE,Tryptophan/Kynurenine,TRUE,fig2d,7,0.02722,FALSE,FALSE,0.00159,0.01195,0.08655,FALSE
169355,Gene,IDO2,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,3,0.00394,FALSE,FALSE,0.00096,0.00532,0.03112,FALSE
6999,Gene,TDO2,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,7,0.12283,FALSE,FALSE,0.00569,0.01199,0.17379,TRUE
8564,Gene,KMO,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,4,0.00522,FALSE,FALSE,0.00123,0.00672,0.04051,FALSE
8942,Gene,KYNU,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,5,0.03802,FALSE,FALSE,0.00094,0.00928,0.07121,FALSE
883,Gene,KYAT1,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00003,0.00303,0.00000,FALSE
56267,Gene,KYAT3,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00037,0.00266,0.00000,FALSE
125061,Gene,AFMID,,,,FALSE,Tryptophan/Kynurenine,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00024,0.00246,0.00000,FALSE
2806,Gene,GOT2,,,,FALSE,Tryptophan/Kynurenine; Hydroxyproline catabolism,FALSE,fig2d,5,0.04586,FALSE,FALSE,0.00037,0.01173,0.06273,FALSE
4846,Gene,NOS3,,,,FALSE,Nitric oxide / Vascular,TRUE,fig2d,8,0.12650,FALSE,FALSE,0.16103,0.01494,0.44100,TRUE
4842,Gene,NOS1,,,,FALSE,Nitric oxide / Neuronal,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00570,0.00280,0.00000,FALSE
4843,Gene,NOS2,,,,FALSE,Nitric oxide / Inflammatory,FALSE,fig2d,4,0.01534,FALSE,FALSE,0.03422,0.00832,0.12835,FALSE
2628,Gene,GATM,,,,FALSE,Creatine biosynthesis / Homoarginine,TRUE,fig2d,5,0.05874,FALSE,FALSE,0.00561,0.01334,0.13596,FALSE
2593,Gene,GAMT,,,,FALSE,Creatine biosynthesis,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00016,0.00349,0.00000,FALSE
233,Gene,ARG2,,,,FALSE,Arginine metabolism,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00570,0.00280,0.00000,FALSE
32,Gene,ACACB,,,,FALSE,Malonyl-CoA / FAO regulation,FALSE,fig2d,3,0.01926,FALSE,FALSE,0.02611,0.00601,0.10893,FALSE
31,Gene,ACACA,,,,FALSE,Malonyl-CoA / FAO regulation,FALSE,fig2d,3,0.00482,FALSE,FALSE,0.00911,0.00619,0.05964,FALSE
1374,Gene,CPT1A,,,,FALSE,Fatty acid oxidation,TRUE,fig2d,6,0.04079,FALSE,FALSE,0.08913,0.01197,0.25240,TRUE
5465,Gene,PPARA,,,,FALSE,Lipid metabolism / Nuclear receptor,TRUE,fig2d,10,0.10036,FALSE,FALSE,0.28690,0.01564,0.51435,TRUE
5468,Gene,PPARG,,,,FALSE,Adipogenesis / Nuclear receptor,FALSE,fig2d,9,0.12490,FALSE,FALSE,0.24967,0.01504,0.50610,TRUE
5563,Gene,PRKAA1,,,,FALSE,AMPK / Energy sensing,FALSE,fig2d,4,0.02185,FALSE,FALSE,0.04060,0.00785,0.14425,FALSE
6389,Gene,SDHA,,,,FALSE,TCA cycle / ETC Complex II,FALSE,fig2d,4,0.03550,FALSE,FALSE,0.02002,0.01048,0.14670,FALSE
1581,Gene,CYP7A1,,,,FALSE,Bile acid synthesis,TRUE,fig2d,9,0.06270,FALSE,FALSE,0.18514,0.01703,0.40777,TRUE
9971,Gene,NR1H4,,,,FALSE,Bile acid signaling (FXR),FALSE,fig2d,9,0.06389,FALSE,FALSE,0.24096,0.01593,0.43037,TRUE
9965,Gene,FGF19,,,,FALSE,Bile acid / Enterohepatic signaling,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.01208,0.00266,0.00000,FALSE
