"","c34_3_pe_plasmalogen","c36_3_pe_plasmalogen","c36_2_pc_plasmalogen","c34_2_pc","c18_2_lpe","c18_2_lpc","c18_1_lpe","c18_0_lpc","c18_1_lpc","c36_2_pe","c36_4_pc","c34_3_pe","c32_2_pe","c36_1_pe","c48_4_tag","c48_5_tag","c46_3_tag","c46_4_tag","c50_5_tag","c50_6_tag","c34_0_ps","c36_5_pc_plasmalogen","c44_0_tag","c42_0_tag","c44_1_tag","c44_2_tag","c45_2_tag","c43_1_tag","c45_0_tag","c43_0_tag","c54_1_tag","proline","kynurenine","x15_hete","x13_hode","x2_hydroxyglutarate","amp","lactate","methyladipate_pimelate","dmgv","n_acetylputrescine","x4_acetamidobutanoate","glucuronate","l_carbamoyl_beta_alanine","adonitol_arabitol","n2_dimethylguanosine","x3_hydroxymethylglutarate","x2_hydroxyoctanoate","hydroxyproline","phenyllactate","x4_hydroxystyrene","x4_hydroxyhippurate","trigonelline","x3_methyladipate","arachidate","caprate","x2_aminobutyrate","gaba","x2_aminoisobutyric_acid","c20_4_ce","malonate","valerate_methylbutyrate"
"c34_3_pe_plasmalogen",1,0.894934333958724,0.692307692307692,0.395872420262664,0.467166979362101,0.395872420262664,0.309568480300188,0.407129455909944,0.23827392120075,0.677298311444653,0.718574108818011,0.564727954971857,0.583489681050657,0.515947467166979,0.395872420262664,0.388367729831144,0.369606003752345,0.395872420262664,0.309568480300188,0.320825515947467,0.305816135084428,0.606003752345216,0.324577861163227,0.320825515947467,0.320825515947467,0.369606003752345,0.309568480300188,0.377110694183865,0.287054409005629,0.24577861163227,0.215759849906191,0.170731707317073,0.215759849906191,0.0656660412757973,0.0806754221388368,-0.024390243902439,-0.024390243902439,-0.0619136960600375,0.204502814258912,0.181988742964353,0.103189493433396,0.170731707317073,-0.0806754221388368,-0.024390243902439,-0.024390243902439,-0.00187617260787998,-0.0956848030018762,0.403377110694184,0.407129455909944,0.106941838649156,0.125703564727955,0.204502814258912,0.212007504690432,-0.0919324577861163,0.0919324577861164,-0.024390243902439,-0.395872420262664,-0.407129455909944,-0.283302063789869,-0.25328330206379,-0.0393996247654784,0.0956848030018762
"c36_3_pe_plasmalogen",0.894934333958724,1,0.658536585365854,0.369606003752345,0.448405253283302,0.399624765478424,0.309568480300188,0.410881801125704,0.212007504690432,0.609756097560976,0.696060037523452,0.5046904315197,0.560975609756098,0.5046904315197,0.399624765478424,0.407129455909944,0.399624765478424,0.410881801125704,0.358348968105066,0.395872420262664,0.305816135084428,0.598499061913696,0.358348968105066,0.369606003752345,0.392120075046904,0.407129455909944,0.395872420262664,0.399624765478424,0.305816135084428,0.279549718574109,0.24953095684803,0.185741088180113,0.196998123827392,0.0469043151969981,0.0469043151969981,-0.0506566604127581,-0.0131332082551594,-0.0506566604127581,0.196998123827392,0.170731707317073,0.0881801125703565,0.110694183864916,-0.0356472795497185,-0.024390243902439,-0.0806754221388368,-0.024390243902439,-0.106941838649156,0.369606003752345,0.395872420262664,0.0844277673545967,0.103189493433396,0.110694183864916,0.208255159474672,-0.0881801125703565,0.0393996247654784,-0.024390243902439,-0.392120075046904,-0.403377110694184,-0.302063789868668,-0.223264540337711,-0.0356472795497185,0.099437148217636
"c36_2_pc_plasmalogen",0.692307692307692,0.658536585365854,1,0.395872420262664,0.99624765478424,0.407129455909944,0.369606003752345,0.99624765478424,0.305816135084428,0.621013133208255,0.677298311444653,0.99624765478424,0.99624765478424,0.579737335834897,0.399624765478424,0.407129455909944,0.407129455909944,0.444652908067542,0.395872420262664,0.395872420262664,0.309568480300188,0.579737335834897,0.395872420262664,0.369606003752345,0.399624765478424,0.407129455909944,0.395872420262664,0.407129455909944,0.309568480300188,0.287054409005629,0.309568480300188,0.208255159474672,0.208255159474672,0.0844277673545967,0.106941838649156,-0.00938086303939967,0.0619136960600375,-0.0131332082551594,0.208255159474672,0.200750469043152,0.103189493433396,0.181988742964353,-0.0356472795497185,-0.00938086303939967,0.0281425891181989,0.0281425891181989,-0.110694183864916,0.320825515947467,0.369606003752345,0.114446529080675,0.181988742964353,0.185741088180113,0.23827392120075,-0.0956848030018762,0.114446529080675,0.0281425891181989,-0.403377110694184,-0.403377110694184,-0.305816135084428,-0.283302063789869,-0.0994371482176359,0.106941838649156
"c34_2_pc",0.395872420262664,0.369606003752345,0.395872420262664,1,0.407129455909944,0.369606003752345,0.287054409005629,0.99624765478424,0.309568480300188,0.609756097560976,0.606003752345216,0.99624765478424,0.399624765478424,0.99624765478424,0.264540337711069,0.208255159474672,0.23827392120075,0.264540337711069,0.200750469043152,0.196998123827392,0.106941838649156,0.444652908067542,0.200750469043152,0.200750469043152,0.23827392120075,0.279549718574109,0.23827392120075,0.279549718574109,0.200750469043152,0.181988742964353,0.185741088180113,1,0.118198874296435,0.103189493433396,0.0919324577861164,-0.024390243902439,0.181988742964353,-0.0619136960600375,0.0844277673545967,0.118198874296435,-0.00187617260787998,0.0919324577861164,-0.0956848030018762,-0.0956848030018762,-0.024390243902439,0.0656660412757973,-0.0919324577861163,0.287054409005629,0.23827392120075,0.0844277673545967,0.0919324577861164,0.110694183864916,0.118198874296435,0.0131332082551595,0.0881801125703565,-0.024390243902439,-0.347091932457786,-0.305816135084428,-0.223264540337711,-0.110694183864916,-0.0356472795497185,-0.0393996247654784
"c18_2_lpe",0.467166979362101,0.448405253283302,0.99624765478424,0.407129455909944,1,0.407129455909944,0.309568480300188,0.369606003752345,0.287054409005629,0.677298311444653,0.606003752345216,0.621013133208255,0.560975609756098,0.407129455909944,0.369606003752345,0.309568480300188,0.395872420262664,0.369606003752345,0.305816135084428,0.287054409005629,0.287054409005629,0.279549718574109,0.305816135084428,0.287054409005629,0.309568480300188,0.320825515947467,0.305816135084428,0.309568480300188,0.287054409005629,0.208255159474672,0.309568480300188,-0.00938086303939967,0.0656660412757973,-0.00187617260787998,0.114446529080675,0.0956848030018762,0.0131332082551595,0.0168855534709194,0.185741088180113,0.0656660412757973,-0.00938086303939967,0.0919324577861164,-0.00938086303939967,-0.185741088180112,-0.00562851782363971,-0.00562851782363971,-0.0806754221388368,0.196998123827392,0.0881801125703565,-0.0806754221388368,-0.0844277673545966,0.0806754221388368,-0.00187617260787998,-0.0356472795497185,0.287054409005629,0.0919324577861164,-0.204502814258912,-0.204502814258912,-0.223264540337711,-0.49343339587242,-0.110694183864916,-0.00187617260787998
"c18_2_lpc",0.395872420262664,0.399624765478424,0.407129455909944,0.369606003752345,0.407129455909944,1,0.99249530956848,0.609756097560976,0.681050656660413,0.579737335834897,0.677298311444653,0.579737335834897,0.49343339587242,0.470919324577861,0.467166979362101,0.448405253283302,0.49343339587242,0.49718574108818,0.410881801125704,0.407129455909944,0.275797373358349,0.208255159474672,0.399624765478424,0.437148217636023,0.444652908067542,0.49718574108818,0.444652908067542,0.470919324577861,0.369606003752345,0.309568480300188,0.444652908067542,0.287054409005629,0.0919324577861164,0.121951219512195,0.185741088180113,0.0919324577861164,-0.024390243902439,-0.00187617260787998,0.185741088180113,0.114446529080675,-0.0393996247654784,0.181988742964353,-0.0356472795497185,-0.110694183864916,-0.00187617260787998,-0.00187617260787998,-0.0881801125703565,0.309568480300188,0.287054409005629,0.121951219512195,0.121951219512195,0.118198874296435,0.125703564727955,-0.00187617260787998,0.200750469043152,0.196998123827392,-0.452157598499062,-0.455909943714822,-0.347091932457786,-0.455909943714822,-0.110694183864916,-0.00187617260787998
"c18_1_lpe",0.309568480300188,0.309568480300188,0.369606003752345,0.287054409005629,0.309568480300188,0.99249530956848,1,0.658536585365854,0.771106941838649,0.470919324577861,0.606003752345216,0.49343339587242,0.395872420262664,0.365853658536585,0.395872420262664,0.407129455909944,0.392120075046904,0.399624765478424,0.380863039399625,0.395872420262664,0.287054409005629,0.279549718574109,0.302063789868668,0.377110694183865,0.320825515947467,0.395872420262664,0.320825515947467,0.395872420262664,0.287054409005629,0.275797373358349,0.365853658536585,0.313320825515947,-0.00187617260787998,0.103189493433396,0.185741088180113,0.0469043151969981,-0.024390243902439,-0.00187617260787998,0.121951219512195,0.050656660412758,-0.174484052532833,0.099437148217636,-0.00562851782363971,-0.0919324577861163,-0.00187617260787998,-0.024390243902439,-0.0356472795497185,0.320825515947467,0.283302063789869,0.110694183864916,0.110694183864916,0.0956848030018762,0.114446529080675,0.0469043151969981,0.185741088180113,0.189493433395872,-0.294559099437148,-0.302063789868668,-0.25328330206379,-0.283302063789869,-0.0956848030018762,0.0131332082551595
"c18_0_lpc",0.407129455909944,0.410881801125704,0.99624765478424,0.99624765478424,0.369606003752345,0.609756097560976,0.658536585365854,1,0.696060037523452,0.433395872420263,0.49718574108818,0.410881801125704,0.392120075046904,0.48968105065666,0.437148217636023,0.437148217636023,0.49343339587242,0.48968105065666,0.407129455909944,0.395872420262664,0.24953095684803,0.114446529080675,0.407129455909944,0.433395872420263,0.48968105065666,0.50093808630394,0.433395872420263,0.448405253283302,0.369606003752345,0.305816135084428,0.51219512195122,0.392120075046904,0.0919324577861164,0.114446529080675,0.118198874296435,0.0881801125703565,0.099437148217636,0.0956848030018762,0.204502814258912,0.185741088180113,-0.024390243902439,0.200750469043152,0.0956848030018762,-0.0393996247654784,0.099437148217636,0.0956848030018762,0.0168855534709194,0.392120075046904,0.305816135084428,0.185741088180113,0.159474671669794,0.200750469043152,0.181988742964353,0.0544090056285178,0.212007504690432,0.181988742964353,-0.392120075046904,-0.403377110694184,-0.305816135084428,-0.377110694183865,-0.110694183864916,-0.00938086303939967
"c18_1_lpc",0.23827392120075,0.212007504690432,0.305816135084428,0.309568480300188,0.287054409005629,0.681050656660413,0.771106941838649,0.696060037523452,1,0.523452157598499,0.51219512195122,0.444652908067542,0.369606003752345,0.560975609756098,0.410881801125704,0.395872420262664,0.395872420262664,0.369606003752345,0.444652908067542,0.399624765478424,0.287054409005629,0.305816135084428,0.305816135084428,0.309568480300188,0.369606003752345,0.369606003752345,0.309568480300188,0.309568480300188,0.287054409005629,0.23827392120075,0.369606003752345,0.219512195121951,0.181988742964353,0.185741088180113,0.114446529080675,-0.0131332082551594,-0.00938086303939967,0.118198874296435,0.118198874296435,0.196998123827392,-0.174484052532833,0.106941838649156,-0.00938086303939967,-0.0506566604127581,0.0656660412757973,0.0281425891181989,-0.110694183864916,0.208255159474672,0.196998123827392,0.114446529080675,0.110694183864916,0.099437148217636,1,0.00562851782363982,0.099437148217636,0.0919324577861164,-0.403377110694184,-0.407129455909944,-0.347091932457786,-0.223264540337711,-0.110694183864916,-0.0956848030018762
"c36_2_pe",0.677298311444653,0.609756097560976,0.621013133208255,0.609756097560976,0.677298311444653,0.579737335834897,0.470919324577861,0.433395872420263,0.523452157598499,1,0.433395872420263,0.399624765478424,0.283302063789869,0.407129455909944,0.287054409005629,0.287054409005629,0.283302063789869,0.23827392120075,0.287054409005629,0.283302063789869,0.185741088180113,0.114446529080675,0.181988742964353,0.200750469043152,0.23827392120075,0.23827392120075,0.200750469043152,0.208255159474672,0.118198874296435,0.106941838649156,0.287054409005629,0.208255159474672,0.050656660412758,0.185741088180113,0.118198874296435,0.0469043151969981,-0.00187617260787998,0.0956848030018762,0.0881801125703565,0.099437148217636,-0.174484052532833,0.114446529080675,0.0469043151969981,-0.0393996247654784,0.0168855534709194,0.099437148217636,-0.024390243902439,0.208255159474672,0.185741088180113,0.106941838649156,0.0919324577861164,0.0956848030018762,0.110694183864916,0.0881801125703565,0.114446529080675,0.0844277673545967,-0.283302063789869,-0.294559099437148,-0.204502814258912,-0.223264540337711,-0.0806754221388368,-0.0131332082551594
