var1,var2,correlation
serine,serine,1.0
histidine,histidine,1.0
lysine,lysine,1.0
leucine,leucine,1.0
tryptophan,tryptophan,1.0
proline,proline,1.0
hydroxyproline,hydroxyproline,1.0
gaba,gaba,1.0
x2_aminoisobutyric_acid,x2_aminoisobutyric_acid,1.0
histamine,histamine,1.0
n_carbamoyl_beta_alanine,n_carbamoyl_beta_alanine,1.0
x4_acetamidobutanoate,x4_acetamidobutanoate,1.0
x4_hydroxyhippurate,x4_hydroxyhippurate,1.0
bilirubin,bilirubin,1.0
biliverdin,biliverdin,1.0
dmgv,dmgv,1.0
hippurate,hippurate,1.0
homoarginine,homoarginine,1.0
n2_n2_dimethylguanosine,n2_n2_dimethylguanosine,1.0
n6_n6_dimethyllysine,n6_n6_dimethyllysine,1.0
n6_methyllysine,n6_methyllysine,1.0
n_acetylputrescine,n_acetylputrescine,1.0
trigonelline,trigonelline,1.0
x2_aminobutyrate,x2_aminobutyrate,1.0
x3_hydroxymethylglutarate,x3_hydroxymethylglutarate,1.0
x3_methyladipate_pimelate,x3_methyladipate_pimelate,1.0
adonitol_arabitol,adonitol_arabitol,1.0
amp,amp,1.0
glucuronate,glucuronate,1.0
kynurenine,kynurenine,1.0
lactate,lactate,1.0
malonate,malonate,1.0
c18_2_lpc,c18_2_lpc,1.0
c18_1_lpc,c18_1_lpc,1.0
c18_0_lpc,c18_0_lpc,1.0
c18_2_lpe,c18_2_lpe,1.0
c18_1_lpe,c18_1_lpe,1.0
c34_2_pc,c34_2_pc,1.0
c36_4_pc_a,c36_4_pc_a,1.0
c36_2_pc,c36_2_pc,1.0
c36_3_pe_plasmalogen,c36_3_pe_plasmalogen,1.0
c42_0_tag,c42_0_tag,1.0
c43_1_tag,c43_1_tag,1.0
c45_2_tag,c45_2_tag,1.0
c46_4_tag,c46_4_tag,1.0
x13_hode,x13_hode,1.0
x15_hete,x15_hete,1.0
x2_hydroxyoctanoate,x2_hydroxyoctanoate,1.0
caprate,caprate,1.0
arachidate,arachidate,1.0
x3_methyladipate,x3_methyladipate,1.0
x4_hydroxystyrene,x4_hydroxystyrene,1.0
alpha_cehc,alpha_cehc,1.0
phenyllactate,phenyllactate,1.0
histidine,serine,0.85
lysine,serine,0.7
lysine,histidine,0.75
leucine,serine,0.5
leucine,histidine,0.55
leucine,lysine,0.7
tryptophan,serine,0.4
tryptophan,histidine,0.45
tryptophan,lysine,0.55
tryptophan,leucine,0.8
proline,serine,0.3
proline,histidine,0.35
proline,lysine,0.4
proline,leucine,0.65
proline,tryptophan,0.7
hydroxyproline,serine,0.25
hydroxyproline,histidine,0.3
hydroxyproline,lysine,0.35
hydroxyproline,leucine,0.5
hydroxyproline,tryptophan,0.55
hydroxyproline,proline,0.75
gaba,serine,0.1
gaba,histidine,0.1
gaba,lysine,0.1
gaba,leucine,0.15
gaba,tryptophan,0.15
gaba,proline,0.2
gaba,hydroxyproline,0.2
x2_aminoisobutyric_acid,serine,0.05
x2_aminoisobutyric_acid,histidine,0.05
x2_aminoisobutyric_acid,lysine,0.1
x2_aminoisobutyric_acid,leucine,0.1
x2_aminoisobutyric_acid,tryptophan,0.1
x2_aminoisobutyric_acid,proline,0.15
x2_aminoisobutyric_acid,hydroxyproline,0.15
x2_aminoisobutyric_acid,gaba,0.6
histamine,serine,0.05
histamine,histidine,0.05
histamine,lysine,0.05
histamine,leucine,0.05
histamine,tryptophan,0.05
histamine,proline,0.05
histamine,hydroxyproline,0.05
histamine,gaba,0.1
histamine,x2_aminoisobutyric_acid,0.2
n_carbamoyl_beta_alanine,serine,0.05
n_carbamoyl_beta_alanine,histidine,0.05
n_carbamoyl_beta_alanine,lysine,0.05
n_carbamoyl_beta_alanine,leucine,0.05
n_carbamoyl_beta_alanine,tryptophan,0.05
n_carbamoyl_beta_alanine,proline,0.05
n_carbamoyl_beta_alanine,hydroxyproline,0.05
n_carbamoyl_beta_alanine,gaba,0.05
n_carbamoyl_beta_alanine,x2_aminoisobutyric_acid,0.1
n_carbamoyl_beta_alanine,histamine,0.5
x4_acetamidobutanoate,serine,0.05
x4_acetamidobutanoate,histidine,0.05
x4_acetamidobutanoate,lysine,0.05
x4_acetamidobutanoate,leucine,0.05
x4_acetamidobutanoate,tryptophan,0.05
x4_acetamidobutanoate,proline,0.05
x4_acetamidobutanoate,hydroxyproline,0.05
x4_acetamidobutanoate,gaba,0.1
x4_acetamidobutanoate,x2_aminoisobutyric_acid,0.1
x4_acetamidobutanoate,histamine,0.3
x4_acetamidobutanoate,n_carbamoyl_beta_alanine,0.6
x4_hydroxyhippurate,serine,0.05
x4_hydroxyhippurate,histidine,0.05
x4_hydroxyhippurate,lysine,0.05
x4_hydroxyhippurate,leucine,0.05
x4_hydroxyhippurate,tryptophan,0.05
x4_hydroxyhippurate,proline,0.1
x4_hydroxyhippurate,hydroxyproline,0.1
x4_hydroxyhippurate,gaba,0.1
x4_hydroxyhippurate,x2_aminoisobutyric_acid,0.1
x4_hydroxyhippurate,histamine,0.1
x4_hydroxyhippurate,n_carbamoyl_beta_alanine,0.1
x4_hydroxyhippurate,x4_acetamidobutanoate,0.1
bilirubin,serine,0.0
bilirubin,histidine,0.0
bilirubin,lysine,0.0
bilirubin,leucine,0.0
bilirubin,tryptophan,0.0
bilirubin,proline,0.0
bilirubin,hydroxyproline,0.0
bilirubin,gaba,0.0
bilirubin,x2_aminoisobutyric_acid,0.0
bilirubin,histamine,0.0
bilirubin,n_carbamoyl_beta_alanine,0.0
bilirubin,x4_acetamidobutanoate,0.0
bilirubin,x4_hydroxyhippurate,0.0
biliverdin,serine,0.0
biliverdin,histidine,0.0
biliverdin,lysine,0.0
biliverdin,leucine,0.0
biliverdin,tryptophan,0.0
biliverdin,proline,0.0
biliverdin,hydroxyproline,0.0
biliverdin,gaba,0.0
biliverdin,x2_aminoisobutyric_acid,0.0
biliverdin,histamine,0.0
biliverdin,n_carbamoyl_beta_alanine,0.0
biliverdin,x4_acetamidobutanoate,0.0
biliverdin,x4_hydroxyhippurate,0.0
biliverdin,bilirubin,0.75
dmgv,serine,0.05
dmgv,histidine,0.05
dmgv,lysine,0.05
dmgv,leucine,0.05
dmgv,tryptophan,0.05
dmgv,proline,0.05
dmgv,hydroxyproline,0.05
dmgv,gaba,0.05
dmgv,x2_aminoisobutyric_acid,0.05
dmgv,histamine,0.05
dmgv,n_carbamoyl_beta_alanine,0.05
dmgv,x4_acetamidobutanoate,0.05
dmgv,x4_hydroxyhippurate,0.05
dmgv,bilirubin,0.05
dmgv,biliverdin,0.05
hippurate,serine,0.05
hippurate,histidine,0.05
hippurate,lysine,0.05
hippurate,leucine,0.05
hippurate,tryptophan,0.05
hippurate,proline,0.05
hippurate,hydroxyproline,0.05
hippurate,gaba,0.05
hippurate,x2_aminoisobutyric_acid,0.05
hippurate,histamine,0.05
hippurate,n_carbamoyl_beta_alanine,0.05
hippurate,x4_acetamidobutanoate,0.05
hippurate,x4_hydroxyhippurate,0.5
hippurate,bilirubin,0.05
hippurate,biliverdin,0.05
hippurate,dmgv,0.05
homoarginine,serine,0.05
homoarginine,histidine,0.05
homoarginine,lysine,0.1
homoarginine,leucine,0.05
homoarginine,tryptophan,0.05
homoarginine,proline,0.05
homoarginine,hydroxyproline,0.05
homoarginine,gaba,0.05
homoarginine,x2_aminoisobutyric_acid,0.05
homoarginine,histamine,0.05
homoarginine,n_carbamoyl_beta_alanine,0.05
homoarginine,x4_acetamidobutanoate,0.05
homoarginine,x4_hydroxyhippurate,0.05
homoarginine,bilirubin,0.05
homoarginine,biliverdin,0.05
homoarginine,dmgv,0.05
homoarginine,hippurate,0.05
n2_n2_dimethylguanosine,serine,0.05
n2_n2_dimethylguanosine,histidine,0.05
n2_n2_dimethylguanosine,lysine,0.05
n2_n2_dimethylguanosine,leucine,0.05
n2_n2_dimethylguanosine,tryptophan,0.05
n2_n2_dimethylguanosine,proline,0.05
n2_n2_dimethylguanosine,hydroxyproline,0.05
n2_n2_dimethylguanosine,gaba,0.05
n2_n2_dimethylguanosine,x2_aminoisobutyric_acid,0.05
n2_n2_dimethylguanosine,histamine,0.05
